,start,end,peak,class,ale,ykc,ott,end-2,single,multi,,,,
6423,2014-11-07 16:53,2014-11-07 17:34,2014-11-07 17:26,X1.6,-1,-1,1,2014-11-07 19:58,1,1,,,,
6437,2014-11-09 15:24,2014-11-09 15:38,2014-11-09 15:32,M2.3,-1,-1,1,2014-11-09 17:05,1,1,,,,
6488,2014-11-16 17:35,2014-11-16 17:57,2014-11-16 17:48,M5.7,-1,-1,1,2014-11-16 22:20,1,1,,,,
7062,2015-03-02 15:10,2015-03-02 15:37,2015-03-02 15:28,M3.7,0,-1,1,2015-03-02 16:40,1,1,,,,
7064,2015-03-02 19:21,2015-03-02 19:36,2015-03-02 19:31,M4.1,0,-1,1,2015-03-02 22:25,1,1,,,,
7104,2015-03-09 14:18,2015-03-09 14:55,2015-03-09 14:34,M4.5,0,-1,1,2015-03-09 15:08,0,1,,,,
7139,2015-03-11 16:11,2015-03-11 16:29,2015-03-11 16:22,X2.1,1,-1,1,2015-03-11 18:05,1,1,,,,
7151,2015-03-12 13:45,2015-03-12 14:33,2015-03-12 14:04,M4.2,0,-1,1,2015-03-12 15:14,1,1,,,,
7344,2015-04-21 11:41,2015-04-21 12:26,2015-04-21 11:54,M2.2,0,-1,1,2015-04-21 13:05,1,1,"looks bad, can't help",,,
7345,2015-04-21 15:24,2015-04-21 15:51,2015-04-21 15:45,M4.0,1,-1,1,2015-04-21 16:30,1,1,,,,
7346,2015-04-21 16:55,2015-04-21 17:09,2015-04-21 17:00,M2.1,0,-1,1,2015-04-21 17:56,1,1,"data looks good, might be a compound event issue",,,
7348,2015-04-21 21:39,2015-04-21 21:55,2015-04-21 21:45,M1.8,0,-1,1,2015-04-21 21:57,1,1,,,,
7349,2015-04-21 21:58,2015-04-21 22:04,2015-04-21 22:01,M1.2,0,-1,1,2015-04-21 22:04,-1,-1,,,,
7416,2015-05-05 14:19,2015-05-05 14:32,2015-05-05 14:25,M1.3,0,-1,1,2015-05-05 14:58,1,1,,,,
7419,2015-05-05 17:12,2015-05-05 17:30,2015-05-05 17:24,M2.6,0,-1,1,2015-05-05 18:08,1,1,,,,
7424,2015-05-05 22:05,2015-05-05 22:15,2015-05-05 22:11,X2.7,1,-1,1,2015-05-05 23:20,1,1,"SNK is unusually large, throwing off the results - not sure why",,,
7751,2015-08-22 13:22,2015-08-22 15:17,2015-08-22 13:22,C2.2,-1,-1,1,2015-08-22 14:09,1,-1,,,,
7756,2015-08-22 21:19,2015-08-22 21:28,2015-08-22 21:24,M3.5,-1,-1,1,2015-08-22 22:22,1,1,,,,
7814,2015-08-28 13:04,2015-08-28 13:23,2015-08-28 13:16,M2.2,0,-1,1,2015-08-28 13:43,1,1,,,,
7819,2015-08-28 18:55,2015-08-28 19:24,2015-08-28 19:04,M2.1,0,-1,1,2015-08-28 19:27,1,1,,,,
7873,2015-09-20 17:30,2015-09-20 19:59,2015-09-20 17:57,M2.1,0,-1,1,2015-09-20 20:40,1,1,"rise fits great, the fall doesn’t",,,
7955,2015-10-01 13:03,2015-10-01 13:14,2015-10-01 13:10,M4.5,0,-1,1,2015-10-01 14:19,1,1,,,,
7971,2015-10-02 17:08,2015-10-02 17:23,2015-10-02 17:18,M1.0,0,-1,1,2015-10-02 17:54,1,1,,,,
8567,2016-07-24 17:30,2016-07-24 18:12,2016-07-24 17:43,M1.9,-1,1,1,2016-07-24 18:40,1,1,,,,
